en,fr
"And I want you to see, this is Fuku, a young female, and she is quietly playing with water.","Et je veux que vous voyiez, voici Fuku, une jeune femelle, et elle joue tranquillement avec l'eau."
"I think, like her, we sometimes play alone, and we explore the boundaries of our inner and our outer worlds.","Je pense, comme elle, que nous jouons parfois seul, pour explorer les limites de nos mondes intérieurs et extérieurs."
"And it's that playful curiosity that drives us to explore, drives us to interact, and then the unexpected connections we form are the real hotbed for creativity.","Et c'est cette curiosité ludique qui nous pousse à explorer, à interagir et les connections inattendues que nous formons sont le lit de notre créativité."
So these are just small tasters into the insights that bonobo give us to our past and present.,Ce ne sont que de petits aperçus des découvertes que le bonobo nous donne de notre passé et de notre présent.
"But they also hold a secret for our future, a future where we need to adapt to an increasingly challenging world through greater creativity and greater cooperation.","Mais ils détiennent aussi le secret de notre futur, un futur dans lequel nous devons nous adapter à un monde de plus en plus difficile, à travers une meilleure créativité et une meilleure coopération."
The secret is that play is the key to these capacities.,Le secret est que jouer est la clé de nos capacités.
"In other words, play is our adaptive wildcard.","En d'autres termes, le jeu est notre joker d'adaptation."
"In order to adapt successfully to a changing world, we need to play.","Pour que nous nous adaptions avec succès à notre monde qui change, nous devons jouer."
But will we make the most of our playfulness?,Mais arriverons-nous à réaliser le meilleur de notre côté ludique ?
"Play is not frivolous. Play's essential. For bonobos and humans alike, life is not just red in tooth and claw.","Jouer n'est pas frivole ; jouer est essentiel. Pour les bonobos comme pour les humains, la vie n'est pas que violence prédatrice."
"In times when it seems least appropriate to play, it might be the times when it is most urgent.","Et lorsque parfois jouer semble la chose la moins appropriée, peut-être est-ce justement le moment où jouer est le plus urgent."
"And so, my fellow primates, let us embrace this gift from evolution and play together, as we rediscover creativity, fellowship and wonder.","Et donc, chers amis primates, embrassons ce cadeau de notre évolution et jouons ensemble, et redécouvrons notre créativité, notre communauté, et notre émerveillement."
Thank you.,Merci.
(Applause),(Applaudissements)
"I want you now to imagine a wearable robot that gives you superhuman abilities, or another one that takes wheelchair users up standing and walking again.","Je veux maintenant que vous imaginiez un robot portable qui vous donne des capacités surhumaines, ou un autre qui met les utilisateurs de fauteuils roulants debouts et les fait remarcher."
We at Berkeley Bionics call these robots exoskeletons.,"A Berkeley Bionics, nous appelons ces robots des exosquelettes."
"These are nothing else than something that you put on in the morning, and it will give you extra strength, and it will further enhance your speed, and it will help you, for instance, to manage your balance.","Ils ne sont rien d'autres que quelque chose que vous mettez le matin, et ça vous donnera une force supplémentaire, et ça améliorera votre vitesse, et ça cous aidera, par exemple, à gérer votre équilibre."
It is actually the true integration of the man and the machine.,C'est en fait la véritable intégration de l'homme et de la machine.
But not only that — it will integrate and network you to the universe and other devices out there.,Mais non seulement ça — ça vous intègrera et vous mettra en réseau avec l'univers et d'autres appareils.
This is just not some blue sky thinking.,Il ne s'agit pas d'une idée irréaliste.
"To show you now what we are working on by starting out talking about the American soldier, that on average does carry about 100 lbs. on their backs, and they are being asked to carry more equipment.","Pour vous montrer maintenant ce sur quoi nous travaillons en commençant par parler du soldat américain, qui en moyenne porte environ 45 kilos sur son dos, et on leur demande de porter plus d'équipement."
"Obviously, this is resulting in some major complications — back injuries, 30 percent of them — chronic back injuries.","Evidemment, cela aboutit à des complications majeures — des blessures au dos, pour 30 % d'entre eux — des blessures au dos chroniques."
So we thought we would look at this challenge and create an exoskeleton that would help deal with this issue.,Nous avons donc pensé à examiner ce problème et à créer un exosquelette qui aiderait à le résoudre.
So let me now introduce to you HULC — or the Human Universal Load Carrier.,Permettez-moi donc de vous présenter HULC — ou le Porteur de Charge Universel Humain.
"Soldier: With the HULC exoskeleton, I can carry 200 lbs. over varied terrain for many hours.","Soldat : Avec l'exosquelette HULC, je peux porter 100 kilos sur divers terrains pendant de nombreuses heures."
"Its flexible design allows for deep squats, crawls and high-agility movements.","Sa conception flexible permet de s'accroupir complètement, de ramper et de bouger avec une grande agilité."
"It senses what I want to do, where I want to go, and then augments my strength and endurance.","Il capte ce que je veux faire, où je veux aller, et puis il augmente ma force et mon endurance."
"Eythor Bender: We are ready with our industry partner to introduce this device, this new exoskeleton this year.","Eythor Bender : Nous sommes prêts avec notre partenaire industriel à mettre cet appareil sur le marché, ce nouvel exosquelette cette année."
So this is for real.,Donc c'est pour de vrai.
"Now let's turn our heads towards the wheelchair users, something that I'm particularly passionate about.","Maintenant tournons nous vers les utilisateurs de fauteuils roulants, quelque chose qui me passionne particulièrement."
There are 68 million people estimated to be in wheelchairs worldwide.,On estime qu'il y a 68 millions de gens en fauteuil roulant dans le monde.
This is about one percent of the total population.,C'est environ 1 % de la population.
And that's actually a conservative estimate.,Et c'est en fait une estimation conservatrice.
"We are talking here about, oftentimes, very young individuals with spinal cord injuries, that in the prime of their life — 20s, 30s, 40s — hit a wall and the wheelchair's the only option.","Nous parlons ici, assez souvent, de très jeunes individus avec des blessures à la moëlle épinière, et dans la fleur de l'âge — 20, 30 40 ans — ils heurtent un mur et le fauteuil roulant est la seule option."
But it is also the aging population that is multiplying in numbers.,Mais il s'agit aussi d'une population vieillissante qui est en pleine croissance.
"And the only option, pretty much — when it's stroke or other complications — is the wheelchair.","Et la seule option, en fait — quant il s'agit d'une attaque ou d'autres complications — c'est le fauteuil roulant."
"And that is actually for the last 500 years, since its very successful introduction, I must say.","Et c'est comme ça depuis 500 ans, depuis qu'on l'a inventé, avec succès, je dois dire."
So we thought we would start writing a brand new chapter of mobility.,Nous avons donc pensé que nous commencerions à écrire un tout nouveau chapitre de la mobilité.
"Let me now introduce you to eLEGS that is worn by Amanda Boxtel that 19 years ago was spinal cord injured, and as a result of that she has not been able to walk for 19 years until now.","Permettez-moi de vous présenter eLEGS qui est porté par Amanda Boxtel qui a été blessée à la moelle épinière il y a 19 ans, et en conséquence n'a pas pu marcher depuis 19 ans, jusqu'à aujourd'hui."
(Applause),(Applaudissements)
Amanda Boxtel: Thank you.,Amanda Boxtel : Merci.
"EB: Amanda is wearing our eLEGS set. It has sensors. It's completely non-invasive, sensors in the crutches that send signals back to our onboard computer that is sitting here at her back.",EB : Amanda porte notre eLEGS. Il a des capteurs — ce sont des capteurs totalement non invasifs dans les béquilles qui envoient des signaux à notre ordinateur embarqué qui est posé ici dans son dos.
"There are battery packs here as well that power motors that are sitting at her hips, as well as her knee joints, that move her forward in this kind of smooth and very natural gait.","Il y a des batteries ici également qui alimentent les moteurs installés sur ses hanches, de même que sur les articulations de ses genoux, qui la font avancer avec cette démarche souple et très naturelle."
AB: I was 24 years old and at the top of my game when a freak summersault while downhill skiing paralyzed me.,"AB : J'avais 24 ans, et j'étais au top de ma forme quand un saut périlleux monstre lors d'une descente à ski m'a paralysée."
"In a split second, I lost all sensation and movement below my pelvis.","En un dixième de seconde, j'ai perdu toute sensation et tout mouvement en dessous du bassin."
"Not long afterwards, a doctor strode into my hospital room, and he said, ""Amanda, you'll never walk again."" And that was 19 yeas ago.","Peu après, un docteur est entré d'un pas décidé dans ma chambre d'hôpital, et il a dit, ""Amanda, vous ne marcherez pus jamais."" Et c'était il y a 19 ans."
He robbed every ounce of hope from my being.,Il a volé tout soupçon d'espoir.
"Adaptive technology has since enabled me to learn how to downhill ski again, to rock climb and even handcycle.","La technologie adaptative m'a permis depuis d'apprendre comment faire des descente à ski à nouveau, à faire de l'escalade et même du handcycle."
"But nothing has been invented that enables me to walk, until now.","Mais rien n'a été inventé qui me permette de marcher, jusqu'à présent."
(Applause),(Applaudissements)
Thank you.,Merci.
"EB: As you can see, we have the technology, we have the platforms to sit down and have discussions with you.","EB : Comme vous pouvez voir, nous avons la technologie, nous avons les programmes pour nous assoir et avoir des discussion avec vous."
"It's in our hands, and we have all the potential here to change the lives of future generations — not only for the soldiers, or for Amanda here and all the wheelchair users, but for everyone.","C'est entre vos mains, et nous avons tout le potentiel ici pour changer les vies des générations à venir — pas seulement des soldats, ou pour Amanda ici et tous les utilisateurs de fauteuils roulants, mais pour tout le monde."
AB: Thanks.,AB : Merci
(Applause),(Applaudissements)
I have spent the past few years putting myself into situations that are usually very difficult and at the same time somewhat dangerous.,J'ai passé ces dernières années à me mettre dans des situations qui sont en général très difficiles et en même temps quelque peu dangereuses.
I went to prison — difficult.,J'ai fait de la prison — difficile.
I worked in a coal mine — dangerous.,J'ai travaillé dans une mine de charbon — dangereux.
I filmed in war zones — difficult and dangerous.,J'ai filmé dans des zones de guerre — difficile et dangereux.
"And I spent 30 days eating nothing but this — fun in the beginning, little difficult in the middle, very dangerous in the end.","Et j'ai passé 30 jours sans rien manger d'autre que ça — amusant au début, un peu difficile à la moitié, très dangereux à la fin."
"In fact, most of my career, I've been immersing myself into seemingly horrible situations for the whole goal of trying to examine societal issues in a way that make them engaging, that make them interesting, that hopefully break them down in a way that make them entertaining and accessible to an audience.","En fait, la plus grande partie de ma carrière, je me suis plongé dans des situations apparemment horribles dans le seul but d'essayer d'examiner des problèmes sociétaux d'une manière qui les rende engageants et intéressants, en espérant les décomposer de manière à les rendre ludiques et accessibles à un public."
"So when I knew I was coming here to do a TED Talk that was going to look at the world of branding and sponsorship, I knew I would want to do something a little different.","Alors, quand j'ai su que je venais ici pour faire une conférence TED qui allait se concentrer sur le monde des marques et du parrainage, Je savais que je voudrais faire quelque chose un peu différent."
"So as some of you may or may not have heard, a couple weeks ago, I took out an ad on eBay.","Alors comme certains d'entre vous ont peut-être entendu ou pas, il y a quelques semaines, j'ai pris une annonce sur Ebay."
"I sent out some Facebook messages, some Twitter messages, and I gave people the opportunity to buy the naming rights to my 2011 TED Talk. (Laughter) That's right, some lucky individual, corporation, for-profit or non-profit, was going to get the once-in-a-lifetime opportunity — because I'm sure Chris Anderson will never let it happen again — (Laughter) to buy the naming rights to the talk you're watching right now, that at the time didn't have a title, didn't really have a lot of content and didn't really give much hint as to what the subject matter would actually be.","J'ai envoyé des messages sur Facebook, des messages Twitter, et j'ai donné aux gens la possibilité d'acheter les droits d'appellation pour ma conférence TED 2011. (Rires) C'est vrai, un individu chanceux, une corportation, à but lucratif ou à but non lucratif, allait avoir la chance de toute une vie - parce que je suis sûr que Chris Anderson ne laissera pas cela se reproduire - (Rires) pour acheter les droits d'appellation de la conversation que vous regardez en ce moment, qui à l'époque, n'avait pas de titre, n'avait pas vraiment beaucoup de contenu et n'avait pas vraiment donné beaucoup d'indices quand à ce que serait le sujet."
"So what you were getting was this: Your name here presents: My TED Talk that you have no idea what the subject is and, depending on the content, could ultimately blow up in your face, especially if I make you or your company look stupid for doing it.","Alors, ce que vous aviez était ceci : ici votre nom présente : ma conférence TED dont vous n'avez pas idée du sujet et, en fonction du contenu, pourrait finalement vous exploser au visage, surtout si je vous donne l'air stupide, vous ou votre entreprise de l'avoir fait."
"But that being said, it's a very good media opportunity. (Laughter) You know how many people watch these TED Talks? It's a lot. That's just a working title, by the way. (Laughter) So even with that caveat, I knew that someone would buy the naming rights.","Mais cela étant dit, c'est une très bonne opportunité médiatique. (Rires) Vous savez combien de personnes regardent ces conférence TED ? C'est beaucoup. C'est juste un titre de travail, soit dit en passant. (Rires) Ainsi, même avec cet avertissement, je savais que quelqu'un allait acheter les droits d'appellation."
"Now if you'd have asked me that a year ago, I wouldn't have been able to tell you that with any certainty.","Maintenant, si vous m'aviez demandé ça il y a un an, je n'aurais pas été en mesure de vous dire cela avec certitude."
"But in the new project that I'm working on, my new film, we examine the world of marketing, advertising.","Mais dans le nouveau projet sur lequel je travaille, sur mon nouveau film, nous examinons le monde du marketing, de la publicité."
"And as I said earlier, I put myself in some pretty horrible situations over the years, but nothing could prepare me, nothing could ready me, for anything as difficult or as dangerous as going into the rooms with these guys. (Laughter) You see, I had this idea for a movie.","Et comme je l'ai dit plus tôt, je me suis mis dans des situations assez horrible au fil des ans, mais rien ne pouvait me préparer, à quoi ce soit d'aussi difficile ou dangereux que d'aller dans les salles avec ces gars-là. (Rires) Vous voyez, j'avais cette idée pour un film."
"(Video) Morgan Spurlock: What I want to do is make a film all about product placement, marketing and advertising, where the entire film is funded by product placement, marketing and advertising.","(Vidéo) Morgan Spurlock : Ce que je veux faire, c'est faire un film à propos du placement de produit, du marketing et de la publicité, où le film est entièrement financé par le placement de produits, le marketing et la publicité."
"So the movie will be called ""The Greatest Movie Ever Sold."" So what happens in ""The Greatest Movie Ever Sold,"" is that everything from top to bottom, from start to finish, is branded from beginning to end — from the above-the-title sponsor that you'll see in the movie, which is brand X. Now this brand, the Qualcomm Stadium, the Staples Center... these people will be married to the film in perpetuity — forever.","Donc le film, s'appellera ""The Movie Greatest Ever Sold."" [Le plus grand films jamais vendu] Donc ce qui se passe dans ""Le plus grand film jamais vendu"", c'est que tout de haut en bas, du début à la fin, porte le nom d'une marque du début à la fin - du sponsor au-dessus du titre, que vous verrez dans le film, qui est la marque X. Maintenant, cette marque, le Stade Qualcomm, le Staples Center... ces gens-là seront mariés au film pour l'éternité - pour toujours."
"And so the film explores this whole idea — (Michael Kassan: It's redundant.) It's what? (MK: It's redundant.) In perpetuity, forever?","Et donc le film explore cette idée - (Michael Kassan : Il est superflu.) Il est quoi ? (MK : Il est superflu.) Pour l'éternité, pour toujours ?"
I'm a redundant person. (MK: I'm just saying.) That was more for emphasis.,Je suis une personne superflue. (MK : Je dis simplement.) C'était plus pour insister.
"It was, ""In perpetuity.","C'était, ""Pour l'éternité."
"Forever. ""But not only are we going to have the brand X title sponsor, but we're going to make sure we sell out every category we can in the film.","A jamais. ""Mais non seulement nous allons avoir le commanditaire en titre de marque X, mais nous allons nous assurer que nous épuisons toutes les catégories que nous pouvons dans le film."
"So maybe we sell a shoe and it becomes the greatest shoe you ever wore... the greatest car you ever drove from ""The Greatest Movie Ever Sold,"" the greatest drink you've ever had, courtesy of ""The Greatest Movie Ever Sold.""","Alors nous vendons peut-être une chaussure et elle devient la plus grande chaussure que vous ayez jamais portée... la plus grande voiture que vous jamais conduite de ""Le plus grand film jamais vendu, la plus grande boisson que vous avez jamais eu, avec la permission de"" Le plus grand film jamais vendu. """
"Xavier Kochhar: So the idea is, beyond just showing that brands are a part of your life, but actually get them to finance the film? (MS: Get them to finance the film.)","Xavier Kochhar : L'idée est donc, au-delà de montrer seulement que les marques font partie de votre vie, mais en fait de les amener à financer le film ? (MS : Faites-les financer le film.)"
MS: And actually we show the whole process of how does it work.,MS : Et effectivement nous montrons tout le processus de comment ça marche.
The goal of this whole film is transparency.,Le but de ce film est la transparence.
You're going to see the whole thing take place in this movie.,Vous allez voir que tout se déroule dans ce film.
"So that's the whole concept, the whole film, start to finish.","Donc, c'est tout le concept, l'ensemble du film, du début à la fin."
And I would love for CEG to help make it happen.,Et je voudrais bien que CEG aide à ce que ça se fasse.
"Robert Friedman: You know it's funny, because when I first hear it, it is the ultimate respect for an audience.","Robert Friedman : Vous savez, c'est drôle, parce que quand j'entends ça pour la première fois, c'est le respect ultime pour un public."
"Guy: I don't know how receptive people are going to be to it, though.",Guy : Je ne sais pas comment les gens le recevront par contre
"XK: Do you have a perspective — I don't want to use ""angle"" because that has a negative connotation — but do you know how this is going to play out? (MS: No idea.)","XK : Avez-vous un point de vue - Je ne veux pas utiliser ""angle"" parce que cela porte une connotation négative - mais savez-vous comment cela va se passer ? (MS : Aucune idée.)"
David Cohn: How much money does it take to do this?,David Cohn : Combien d'argent faut-il pour cela ?
MS: 1.5 million. (DC: Okay.),"MS : 1,5 millions. (DC : Très bien.)"
"John Kamen: I think that you're going to have a hard time meeting with them, but I think it's certainly worth pursuing a couple big, really obvious brands.","John Kamen : Je pense que vous allez avoir du mal à les rencontrer, mais je pense que ça vaut certainement la peine de poursuivre quelques grandes marques vraiment évidentes."
"XK: Who knows, maybe by the time your film comes out, we look like a bunch of blithering idiots.","XK : Qui sait, peut-être au moment où votre film sortira, on aura l'air d'une bande de crétins."
MS: What do you think the response is going to be?,MS : Que pensez-vous de la réponse va être ?
"Stuart Ruderfer: The responses mostly will be ""no.""",Stuart Ruderfer : Les réponses seront la plupart du temps « non ».
MS: But is it a tough sell because of the film or a tough sell because of me?,MS : Mais est-ce difficile à vendre à cause du film ou difficile à vendre à cause de moi ?
JK: Both.,JK : Les deux.
MS:... Meaning not so optimistic.,MS :... ce qui veut dire pas tellement optimistes.
"So, sir, can you help me? I need help.","Alors, monsieur, pouvez-vous m'aider ? J'ai besoin d'aide."
MK: I can help you.,MK : Je peux vous aider.
MS: Okay. (MK: Good.) Awesome.,MS : D'accord. (MK : Très bien.) Super.
MK: We've gotta figure out which brands.,MK : Nous devons déterminer quelles marques.
MS: Yeah. (MK: That's the challenge.) When you look at the people you deal with..,MS : Oui. (MK : C'est le problème.) Quand vous regardez les gens avec qui vous traitez..
MK: We've got some places we can go. (MS: Okay.) Turn the camera off.,MK : Nous avons certains endroits où nous pouvons aller. (MS : Très bien.) Arrêtez la caméra.
